Group Exit Status,Classroom,Subject,exited_at,GroupID,Group Name,Number of Students,T1,DIP/T2/T3,First Lesson Date,Last Lesson Date,Number of Lesson of Type L(Lesson),Number of Lesson of Type R(Reteach),Number of Lesson of Type C(custom),Total Lesson Taught,Last Lesson Enter,Number of Weekly Assessments,Exit Assessments Given,,
Close,CH1,Math,10/21/15,1,T1 One-to-One,7,7,0,9/15/15,10/7/15,8,4,0,12,2.3,1,Yes,,
Close,CH1,Math,11/2/15,2,T1 Rational Counting,3,3,0,9/15/15,10/21/15,8,3,0,11,2.3,1,Yes,,
Close,CH1,Math,11/2/15,3,T1 Rational Counting,5,5,0,9/15/15,11/2/15,8,3,0,11,2.3,0,Yes,,
Close,CH1,Math,11/2/15,4,T1 Rational Counting,5,5,0,9/15/15,10/14/15,8,1,0,9,2.3,0,No,,
Close,CH1,Literacy,11/9/15,5,T1 Word Awareness,6,6,0,9/15/15,11/3/15,12,4,0,16,4.3,3,Yes,,
Close,CH1,Literacy,11/9/15,6,T1 Rhyme,5,5,0,9/15/15,11/3/15,8,12,0,20,3.2111,0,No,,
Close,CH1,Literacy,11/9/15,7,T1 Rhyme,6,6,0,9/16/15,11/3/15,10,11,0,21,3.2111,0,No,,
Close,CH1,Literacy,11/9/15,8,T1 Syllables,3,3,0,9/16/15,11/3/15,10,5,0,15,3.3,1,Yes,,
Open,LP1,Math,NULL,3029,T1 Number Symbols,4,4,0,3/18/16,3/18/16,1,0,0,1,1.1,0,No,,
Open,CH3,ELL,NULL,2737,T2 ELL Units 7-8,1,0,1,2/16/16,3/18/16,15,0,0,15,5.3,2,No,,
Open,LP1,Math,NULL,3027,T1 Comparative Value,5,5,0,3/18/16,3/18/16,1,0,0,1,1.1,0,No,,
Open,CH2,Math,NULL,2965,T1 Number Symbols,6,6,0,3/18/16,3/18/16,1,0,0,1,1.1,0,No,,
Close,CH1,Social Emotional,NULL,13,T1 SED PS Units 1-5,5,5,0,10/1/15,11/19/15,10,0,0,10,4.3,0,No,,
Close,CH1,Social Emotional,NULL,14,T1 SED PS Units 1-5,5,5,0,10/1/15,11/19/15,3,0,0,3,2.3,0,No,,
Close,CH1,Social Emotional,NULL,15,T1 SED PS Units 1-5,4,4,0,10/2/15,10/2/15,1,0,0,1,2.1,0,No,,
Close,CH1,Social Emotional,NULL,16,T1 SED PS Units 1-5,4,4,0,10/2/15,10/2/15,1,0,0,1,2.1,0,No,,
Close,CH2,Math,10/21/15,17,T1 One-to-One,7,7,0,9/14/15,10/8/15,17,2,0,19,4.2,0,Yes,,
Close,CH2,Math,10/21/15,18,T1 One-to-One,6,6,0,9/14/15,10/8/15,15,0,0,15,4.2,0,Yes,,
Close,CH2,Math,10/21/15,19,T1 Rational Counting,4,4,0,9/14/15,10/19/15,20,0,0,20,4.5,0,Yes,,
Close,CH2,Math,10/21/15,20,T1 Rational Counting,4,4,0,9/14/15,10/19/15,20,0,0,20,4.5,0,Yes,,
