Group Name,GroupID,StudentID,weekly_assessment_socre,num_weekly_assessment,exit_assessment_score
T1 One-to-One,1,937,100,1,100
T1 One-to-One,1,1157,100,1,100
T1 One-to-One,1,1353,100,1,100
T1 One-to-One,1,1384,100,1,100
T1 Rational Counting,2,1284,100,1,0
T1 Rational Counting,2,1337,100,1,100
T1 Rational Counting,2,1380,100,1,100
T1 Word Awareness,5,1264,100,3,100
T1 Word Awareness,5,1332,100,3,100
T1 Word Awareness,5,1354,100,3,100
T1 Word Awareness,5,1370,89,3,50
T1 Word Awareness,5,1512,100,3,100
T1 Word Awareness,5,1610,33.3333,3,75
T1 Syllables,8,922,100,1,100
T1 Syllables,8,1213,100,1,100
T1 Syllables,8,1284,100,1,100
T1 Word Awareness,21,1018,67,1,50
T1 Word Awareness,21,1171,33,1,100
T1 Rational Counting,51,897,33,1,67
T1 Rational Counting,51,913,67,1,67
T1 Rational Counting,51,975,67,1,67
T1 Rational Counting,51,1177,0,1,0
T1 Rational Counting,51,1234,33,1,100
T1 One-to-One,65,1021,70,3,100
T1 Rational Counting,66,969,100,1,80
T1 Rational Counting,66,997,100,1,80
T1 Rational Counting,66,1206,80,1,20
T1 Rational Counting,66,1249,100,1,40
T1 Rational Counting,66,1382,100,1,80
T1 Rational Counting,67,1046,100,5,100
T1 Rational Counting,67,1252,68.6,5,80
T1 Rational Counting,67,1310,47.6667,5,80
T1 Rational Counting,67,1393,100,5,80
T1 Rational Counting,68,954,77.5,5,80
T1 Rational Counting,68,1225,100,5,80
T1 Rational Counting,68,1251,77.6667,5,60
T1 Rational Counting,68,1427,96.6,5,100
T1 Rational Counting,69,917,100,1,80
T1 Rational Counting,69,1248,80,1,40
T1 Rational Counting,69,1285,100,1,80
T1 Rational Counting,69,1436,100,1,60
T1 Word Awareness,70,954,100,4,100
T1 Word Awareness,70,997,100,4,100
T1 Word Awareness,70,1206,66.5,4,25
T1 Word Awareness,70,1310,100,4,75
T1 Word Awareness,70,1436,66.75,4,75
T1 Word Awareness,70,1603,50,3,50
T1 Rhyme,71,1225,83.5,2,100
T1 Rhyme,71,1248,83.5,2,40
T1 Rhyme,71,1427,67,2,60
T1 Rhyme,71,1509,83.5,2,20
T1 Rhyme,72,917,100,2,60
T1 Rhyme,72,969,50,2,100
T1 Rhyme,72,1249,33.5,2,20
T1 Rhyme,72,1252,50,2,100
T1 Rhyme,72,1393,100,2,60
T1 Syllables,73,1046,60,4,80
T1 Syllables,73,1251,60,4,40
T1 Syllables,73,1285,100,4,100
T1 Syllables,73,1382,90,4,100
T1 Oral Comprehension,74,917,95,4,100
T1 Oral Comprehension,74,1206,26.6667,4,60
T1 Oral Comprehension,74,1249,60,4,100
T1 Oral Comprehension,74,1427,60,4,100
T1 Oral Comprehension,74,1436,65,4,100
T1 Oral Comprehension,74,1603,20,3,40
T1 Expression: Descriptive Language,75,1021,86.6667,3,100
T1 Expression: Descriptive Language,75,1225,100,3,100
T1 Expression: Descriptive Language,75,1251,90,3,80
T1 Expression: Descriptive Language,75,1509,86.6667,3,100
T1 Expression: Descriptive Language,76,997,90,3,100
T1 Expression: Descriptive Language,76,1252,93.3333,3,100
T1 Expression: Descriptive Language,76,1382,100,3,100
T1 Expression: Descriptive Language,76,1393,100,3,100
T1 Expression: Descriptive Language,77,969,80,2,100
T1 Expression: Descriptive Language,77,1046,80,2,80
T1 Expression: Descriptive Language,77,1248,100,2,80
T1 Expression: Descriptive Language,77,1285,80,2,60
T1 Expression: Descriptive Language,77,1310,100,2,80
T1 Rational Counting,82,900,56.5,2,40
T1 Rational Counting,82,904,100,2,80
T1 Rational Counting,82,968,91.5,2,60
T1 Rational Counting,82,1289,100,2,100
T1 Rational Counting,83,996,100,2,100
T1 Rational Counting,83,1076,100,2,100
T1 Rational Counting,83,1226,100,2,100
T1 Rational Counting,83,1256,100,2,100
T1 Rational Counting,84,972,100,2,100
T1 Rational Counting,84,1017,100,2,100
T1 Rational Counting,84,1049,100,2,100
T1 Rational Counting,84,1204,100,2,100
T1 Rational Counting,84,1322,100,2,80
T1 Rational Counting,99,1208,50,1,20
T1 Rational Counting,99,1231,83,1,40
T1 Rational Counting,99,1238,100,1,40
T1 Rational Counting,99,1265,100,1,40
T1 Rational Counting,99,1338,100,1,100
T1 Rational Counting,99,1462,83,1,100
T1 Rational Counting,100,933,100,1,100
T1 Rational Counting,100,979,100,1,20
T1 Rational Counting,100,1358,100,1,100
T1 Rational Counting,100,1388,100,1,40
T1 One-to-One,115,1266,100,2,75
T1 One-to-One,115,1429,80,2,100
T1 One-to-One,115,1606,80,1,75
T1 Rhyme,119,1266,44.6667,3,40
T1 Rhyme,119,1399,77.6667,3,80
T1 Rhyme,119,1429,100,3,80
T1 Rhyme,119,1606,33.5,2,80
T1 Rhyme,119,1624,0,1,20
T1 Rhyme,120,896,100,1,40
T1 Rhyme,120,934,78,4,100
T1 Rhyme,120,1056,67,1,0
T1 Rhyme,120,1085,100,4,80
T1 Rhyme,120,1232,100,4,80
T1 Rhyme,120,1378,89,4,100
T1 Rhyme,120,1417,78,4,100
T1 Rhyme,120,1423,89,4,100
T1 Syllables,121,1048,60,1,80
T1 Syllables,121,1233,80,1,100
T1 Phonemes,122,1078,100,1,100
T1 Phonemes,122,1257,100,1,100
T1 Phonemes,122,1362,80,1,80
T1 Oral Comprehension,139,1097,100,1,100
T1 Oral Comprehension,139,1235,100,1,80
T1 Oral Comprehension,139,1447,100,1,100
T1 One-to-One,164,973,40,2,50
T1 One-to-One,164,1015,100,2,100
T1 One-to-One,164,1450,100,2,100
T1 One-to-One,164,1467,100,2,100
T1 One-to-One,165,947,60,2,100
T1 One-to-One,165,1136,100,2,100
T1 One-to-One,165,1439,100,2,100
T1 Rational Counting,166,962,91.5,2,40
T1 Rational Counting,166,987,100,2,100
T1 Rational Counting,166,1431,83,2,100
T1 Rational Counting,167,893,100,2,100
T1 Rational Counting,167,1196,91.5,2,100
T1 Rational Counting,167,1262,100,2,100
T1 Rational Counting,167,1300,100,2,100
T1 Rational Counting,167,1306,100,2,80
T1 Word Awareness,168,973,50,2,100
T1 Word Awareness,168,987,33.5,2,100
T1 Word Awareness,168,1136,16.5,2,50
T1 Word Awareness,168,1450,33,2,0
T1 Word Awareness,168,1513,67,2,100
T1 Word Awareness,169,947,33,2,25
T1 Word Awareness,169,1015,33.5,2,25
T1 Word Awareness,169,1196,50,2,100
T1 Word Awareness,169,1262,50,2,100
T1 Word Awareness,169,1300,66.5,2,100
T1 Word Awareness,169,1431,67,2,100
T1 Rhyme,170,962,0,2,20
T1 Rhyme,170,1439,100,2,20
T1 Syllables,171,893,80,2,80
T1 Syllables,171,1467,70,2,100
T1 Word Awareness,184,1100,100,2,50
T1 Word Awareness,184,1160,100,2,75
T1 Word Awareness,184,1419,100,2,75
T1 Word Awareness,184,1489,100,2,25
T1 Rhyme,185,1050,100,1,100
T1 Rhyme,185,1408,67,1,100
T1 Rhyme,186,1095,67,1,100
T1 Rhyme,187,971,33,1,40
T1 Rhyme,187,1218,100,1,100
T1 Rhyme,187,1299,100,1,100
T1 Rhyme,187,1428,33,1,60
T1 Expression: Descriptive Language,189,1160,100,1,80
T1 Expression: Descriptive Language,189,1428,100,1,100
T1 Expression: Descriptive Language,190,1299,100,1,60
T1 Expression: Descriptive Language,190,1445,100,1,80
T1 Word Awareness,201,1102,66.5,2,100
T1 Word Awareness,201,1128,100,2,100
T1 Word Awareness,201,1247,100,2,100
T1 Word Awareness,201,1344,100,2,100
T1 Word Awareness,201,1500,66.5,2,100
T1 Word Awareness,201,1506,100,2,100
T1 Rhyme,202,1004,100,4,40
T1 Rhyme,202,1051,100,4,80
T1 Rhyme,202,1519,100,4,80
T1 Phonemes,203,1061,100,1,100
T1 Phonemes,203,1179,100,1,80
T1 Phonemes,203,1236,100,1,100
T1 Phonemes,203,1418,80,1,40
T1 Word Awareness,217,967,100,4,100
T1 Word Awareness,217,1130,91.75,4,100
T1 Word Awareness,217,1398,33.3333,4,100
T1 Word Awareness,217,1484,83.5,4,100
T1 Word Awareness,217,1653,100,1,100
T1 Word Awareness,218,909,91.75,4,75
T1 Word Awareness,218,1335,78,4,50
T1 Word Awareness,218,1410,75,4,50
T1 Word Awareness,218,1491,66.5,4,25
T1 Word Awareness,218,1589,91.75,4,75
T1 Word Awareness,219,1023,100,2,100
T1 Word Awareness,219,1093,83.5,2,75
T1 Word Awareness,219,1190,66.5,2,50
T1 Word Awareness,219,1253,66.5,2,25
T1 Word Awareness,234,926,100,1,100
T1 Word Awareness,234,1090,0,1,0
T1 Word Awareness,234,1469,100,1,100
T1 One-to-One,246,1091,100,1,100
T1 One-to-One,246,1184,100,1,75
T1 One-to-One,247,1274,80,1,100
T1 One-to-One,247,1277,80,1,75
T1 One-to-One,247,1394,100,1,100
T1 One-to-One,247,1483,40,1,50
T1 Rational Counting,248,976,100,1,60
T1 Rational Counting,248,1325,100,1,40
T1 Rational Counting,248,1457,100,1,60
T1 Rational Counting,263,1039,100,1,100
T1 Rational Counting,263,1055,100,1,100
T1 Rational Counting,263,1488,100,1,100
T1 Rational Counting,264,1366,100,1,100
T1 Rational Counting,264,1426,100,1,100
T1 Word Awareness,265,1055,33,2,100
T1 Word Awareness,265,1446,67,2,100
T1 Word Awareness,265,1497,67,2,100
T1 Word Awareness,266,1075,67,2,100
T1 Word Awareness,266,1087,100,2,100
T1 Word Awareness,266,1426,67,2,75
T1 Rhyme,267,955,67,2,80
T1 Rhyme,267,1039,83.5,2,100
T1 Rhyme,267,1267,100,2,80
T1 Rhyme,267,1458,100,2,80
T1 Rhyme,268,1166,100,3,80
T1 Rhyme,268,1366,66.5,3,100
T1 Rhyme,268,1387,100,3,80
T1 Rhyme,268,1443,66.6667,3,80
T1 Rhyme,268,1488,44.3333,3,80
T1 One-to-One,277,1081,100,1,50
T1 One-to-One,277,1150,100,1,25
T1 One-to-One,277,1465,100,1,0
T1 One-to-One,277,1477,100,1,100
T1 One-to-One,277,1510,100,1,0
T1 Rational Counting,280,1279,91.5,2,40
T1 Word Awareness,281,1150,100,2,75
T1 Word Awareness,281,1421,100,2,75
T1 Word Awareness,281,1510,100,1,75
T1 Word Awareness,282,1127,100,2,100
T1 Word Awareness,282,1215,100,2,100
T1 Oral Comprehension,285,1150,100,2,100
T1 Oral Comprehension,285,1293,100,2,100
T1 Oral Comprehension,285,1421,87.5,2,100
T1 Oral Comprehension,285,1465,100,2,100
T1 Oral Comprehension,285,1477,100,2,100
T1 Rational Counting,310,957,100,1,100
T1 Rational Counting,342,918,100,1,100
T1 Rational Counting,342,1083,0,1,0
T1 Rational Counting,342,1183,83,1,75
T1 Rational Counting,342,1371,100,1,80
T1 Rhyme,363,1409,33,1,50
T1 Rhyme,363,1459,67,1,0
T1 Rational Counting,374,1016,100,3,20
T1 Rational Counting,374,1181,100,3,100
T1 Rational Counting,374,1258,100,3,60
T1 Rational Counting,374,1349,100,3,80
T1 Rational Counting,374,1364,100,3,100
T1 Rational Counting,375,1000,100,2,100
T1 Rational Counting,375,1052,100,2,100
T1 Rational Counting,375,1259,100,2,60
T1 Rational Counting,375,1283,100,2,100
T1 Rational Counting,375,1326,100,2,100
T1 Rational Counting,376,915,100,3,100
T1 Rational Counting,376,1118,100,3,80
T1 Rational Counting,376,1205,93.3333,3,100
T1 Rational Counting,376,1214,100,3,100
T1 Word Awareness,377,1169,50,2,100
T1 Word Awareness,377,1205,100,2,100
T1 Rhyme,378,1000,100,3,100
T1 Rhyme,378,1181,89,3,100
T1 Rhyme,378,1258,100,3,100
T1 Rhyme,378,1349,55.6667,3,60
T1 Phonemes,379,915,100,1,100
T1 Phonemes,379,925,40,1,0
T1 Phonemes,379,1016,60,1,80
T1 Phonemes,379,1118,80,1,100
T1 Phonemes,379,1326,80,1,100
T1 Expression: Descriptive Language,381,915,100,2,60
T1 Expression: Descriptive Language,381,1169,60,2,40
T1 Expression: Descriptive Language,381,1205,100,2,60
T1 Expression: Descriptive Language,382,925,80,1,100
T1 Expression: Descriptive Language,382,1000,80,1,75
T1 Expression: Descriptive Language,382,1214,100,1,100
T1 Expression: Descriptive Language,382,1283,100,1,75
T1 Conversations,383,1016,100,1,50
T1 Conversations,383,1052,100,1,67
T1 Conversations,383,1349,100,1,25
T1 Conversations,383,1364,100,1,75
T1 One-to-One,389,1124,100,3,100
T1 One-to-One,389,1288,100,3,100
T1 One-to-One,389,1290,100,3,100
T1 One-to-One,405,923,100,2,100
T1 One-to-One,405,1005,100,2,100
T1 One-to-One,405,1006,90,2,100
T1 One-to-One,405,1009,100,2,100
T1 One-to-One,405,1012,60,2,75
T1 One-to-One,405,1298,100,2,100
T1 One-to-One,406,906,100,2,100
T1 One-to-One,406,1119,100,2,100
T1 One-to-One,406,1142,80,2,100
