studentId,period,assessment,subassessment,updated_at,value
130537,BAS,ECRLL,rhy,2015-08-27,5
130537,PM1,ECRLL,rhy,2015-10-27,4
130537,PM2,ECRLL,rhy,2016-01-14,5
130537,PM3,ECRLL,rhy,2016-03-14,5
130537,PYOUT,ECRLL,rhy,2015-08-29,5
130543,BAS,ECRLL,rhy,2015-09-03,4
130543,PM1,ECRLL,rhy,2015-10-28,5
130543,PM2,ECRLL,rhy,2016-01-12,5
130543,PM3,ECRLL,rhy,2016-03-15,5
130543,PYOUT,ECRLL,rhy,2015-08-29,4
140004,BAS,ECRLL,rhy,2015-09-03,1
140004,PM1,ECRLL,rhy,2015-10-27,4
140004,PM3,ECRLL,rhy,2016-03-14,5
140004,PYOUT,ECRLL,rhy,2015-08-29,3
140008,BAS,ECRLL,rhy,2015-10-22,1
140008,PM1,ECRLL,rhy,2015-10-26,0
140008,PM2,ECRLL,rhy,2016-01-13,2
140008,PM3,ECRLL,rhy,2016-03-18,3
140008,PYOUT,ECRLL,rhy,2015-08-29,1
140009,PYOUT,ECRLL,rhy,2015-08-29,2
140011,BAS,ECRLL,rhy,2015-10-22,5
140011,PM1,ECRLL,rhy,2015-10-26,5
140011,PM2,ECRLL,rhy,2016-01-13,5
140011,PM3,ECRLL,rhy,2016-03-09,4
140011,PYOUT,ECRLL,rhy,2015-08-29,5
140014,BAS,ECRLL,rhy,2015-09-03,2
140014,PYOUT,ECRLL,rhy,2015-08-29,0
140017,BAS,ECRLL,rhy,2015-08-28,5
140017,PM1,ECRLL,rhy,2015-10-26,4
140017,PM2,ECRLL,rhy,2016-01-12,5
140017,PM3,ECRLL,rhy,2016-03-10,5
140017,PYOUT,ECRLL,rhy,2015-08-29,5
140018,BAS,ECRLL,rhy,2015-08-28,5
140018,PYOUT,ECRLL,rhy,2015-08-29,4
140019,BAS,ECRLL,rhy,2015-09-03,4
140019,PM1,ECRLL,rhy,2015-10-26,3
140019,PM2,ECRLL,rhy,2016-01-12,4
140019,PM3,ECRLL,rhy,2016-03-09,4
140019,PYOUT,ECRLL,rhy,2015-08-29,3
140020,PYOUT,ECRLL,rhy,2015-08-29,2
140022,BAS,ECRLL,rhy,2015-09-03,2
140022,PM1,ECRLL,rhy,2015-10-22,4
140022,PM2,ECRLL,rhy,2016-01-14,5
140022,PM3,ECRLL,rhy,2016-03-18,5
140022,PYOUT,ECRLL,rhy,2015-08-29,4
140024,BAS,ECRLL,rhy,2015-09-03,1
140024,PM1,ECRLL,rhy,2015-10-29,1
140024,PM2,ECRLL,rhy,2016-01-13,2
140024,PM3,ECRLL,rhy,2016-03-15,2
140024,PYOUT,ECRLL,rhy,2015-08-29,1
140029,PYOUT,ECRLL,rhy,2015-08-29,4
140030,BAS,ECRLL,rhy,2015-08-31,5
140030,PM1,ECRLL,rhy,2015-10-26,5
140030,PM2,ECRLL,rhy,2016-01-11,4
140030,PM3,ECRLL,rhy,2016-03-14,4
140030,PYOUT,ECRLL,rhy,2015-08-29,5
140031,BAS,ECRLL,rhy,2015-09-03,1
140031,PM1,ECRLL,rhy,2015-10-23,2
140031,PM2,ECRLL,rhy,2016-01-12,3
140031,PM3,ECRLL,rhy,2016-03-10,5
140031,PYOUT,ECRLL,rhy,2015-08-29,2
140033,BAS,ECRLL,rhy,2015-09-03,4
140033,PM1,ECRLL,rhy,2015-10-29,3
140033,PM2,ECRLL,rhy,2016-01-13,2
