student_id,plan_name,plan_id,exit_avg_score,daily_avg_score,n_exit,n_daily
1067,"T1 Addition Strategies",85,100,100,1,16
1059,"T1 Addition Strategies",102,20,91,1,11
1069,"T1 Addition Strategies",102,0,81,1,10
1453,"T1 Addition Strategies",102,40,95,1,11
972,"T1 Addition Strategies",1180,100,95,1,17
1017,"T1 Addition Strategies",1180,90,94,2,15
1204,"T1 Addition Strategies",1180,100,98,1,16
1256,"T1 Addition Strategies",1180,80,91,1,16
1289,"T1 Addition Strategies",1180,80,98,1,17
917,"T1 Addition Strategies",1391,100,90,1,20
997,"T1 Addition Strategies",1391,100,94,1,21
1225,"T1 Addition Strategies",1391,100,95,1,20
1285,"T1 Addition Strategies",1391,100,99,1,21
1382,"T1 Addition Strategies",1391,100,83,1,15
1393,"T1 Addition Strategies",1391,80,70,1,20
1509,"T1 Addition Strategies",1391,80,78,1,18
915,"T1 Addition Strategies",1446,30,98,2,11
1000,"T1 Addition Strategies",1446,30,63,2,12
1052,"T1 Addition Strategies",1446,93,98,3,17
1283,"T1 Addition Strategies",1446,47,93,3,18
1326,"T1 Addition Strategies",1446,60,91,3,16
1364,"T1 Addition Strategies",1446,60,95,3,18
1171,"T1 Addition Strategies",1483,100,100,1,5
1532,"T1 Addition Strategies",1483,100,100,1,8
1061,"T1 Addition Strategies",1570,100,100,1,4
1128,"T1 Addition Strategies",1570,80,79,1,4
1236,"T1 Addition Strategies",1570,100,95,1,4
1344,"T1 Addition Strategies",1570,80,89,1,4
1638,"T1 Addition Strategies",1570,100,84,1,4
950,"T1 Addition Strategies",1571,100,100,1,6
1108,"T1 Addition Strategies",1571,100,97,1,6
1219,"T1 Addition Strategies",1571,80,92,1,6
1296,"T1 Addition Strategies",1571,100,100,1,6
1519,"T1 Addition Strategies",1571,80,92,1,6
894,"T1 Addition Strategies",1572,100,100,1,6
1179,"T1 Addition Strategies",1572,100,100,1,6
1292,"T1 Addition Strategies",1572,100,100,1,6
1418,"T1 Addition Strategies",1572,100,97,1,6
1065,"T1 Addition Strategies",1809,80,96,1,6
