student_id,plan_name,plan_id,week,weekly_assessment_score,daily_avg_score,n
894,RAZ,204,2,100,100,3
894,RAZ,204,6,100,100,3
894,RAZ,204,4,100,100,3
894,RAZ,204,1,100,100,2
894,RAZ,204,5,100,100,3
950,RAZ,204,6,100,100,3
950,RAZ,204,4,100,100,3
950,RAZ,204,1,100,100,2
950,RAZ,204,5,100,100,3
950,RAZ,204,2,100,100,3
1108,RAZ,204,4,100,100,3
1108,RAZ,204,1,100,100,3
1108,RAZ,204,5,100,100,3
1108,RAZ,204,2,100,100,3
1108,RAZ,204,6,100,100,3
1219,RAZ,204,4,100,100,3
1219,RAZ,204,1,100,100,3
1219,RAZ,204,5,100,100,3
1219,RAZ,204,2,100,100,3
1219,RAZ,204,6,100,100,3
1292,RAZ,204,1,100,100,3
1292,RAZ,204,5,100,100,3
1292,RAZ,204,2,100,100,2
1292,RAZ,204,6,100,100,3
1292,RAZ,204,4,100,100,3
1296,RAZ,204,1,100,100,1
1296,RAZ,204,5,100,100,3
1296,RAZ,204,2,100,100,3
1296,RAZ,204,6,100,100,3
1296,RAZ,204,4,100,100,3
888,RAZ,316,1,100,100,3
977,RAZ,316,1,100,100,3
1210,RAZ,316,1,100,100,3
1372,RAZ,316,1,100,100,3
1052,RAZ,380,3,100,100,3
1214,RAZ,380,3,100,100,3
1259,RAZ,380,3,100,100,3
1283,RAZ,380,3,100,100,3
1364,RAZ,380,3,100,100,3
1067,RAZ,1303,3,100,100,3
1067,RAZ,1303,1,100,100,3
1067,RAZ,1303,4,100,100,3
1067,RAZ,1303,2,100,100,2
1204,RAZ,1303,2,100,67,3
1204,RAZ,1303,3,100,100,3
1204,RAZ,1303,1,100,100,3
1204,RAZ,1303,4,100,100,3
1256,RAZ,1303,3,100,100,2
1256,RAZ,1303,1,100,100,3
1256,RAZ,1303,4,100,100,2
1256,RAZ,1303,2,0,67,3
1289,RAZ,1303,2,100,100,2
1289,RAZ,1303,3,100,100,3
1289,RAZ,1303,1,100,100,3
1289,RAZ,1303,4,100,100,3
1442,RAZ,1303,3,100,100,3
1442,RAZ,1303,1,100,100,3
1442,RAZ,1303,4,100,100,3
1442,RAZ,1303,2,100,67,3
920,RAZ,1473,3,100,100,3
959,RAZ,1473,1,100,100,3
959,RAZ,1473,3,100,100,3
1268,RAZ,1473,1,100,100,3
1268,RAZ,1473,3,100,100,3
1287,RAZ,1473,1,100,100,3
1287,RAZ,1473,3,100,100,3
1374,RAZ,1473,3,100,100,3
1374,RAZ,1473,1,100,100,2
927,RAZ,1546,5,100,100,3
927,RAZ,1546,3,100,100,3
927,RAZ,1546,6,100,100,3
927,RAZ,1546,1,100,100,3
927,RAZ,1546,4,100,100,3
927,RAZ,1546,2,100,100,3
1053,RAZ,1546,3,100,100,3
1053,RAZ,1546,6,100,100,3
1053,RAZ,1546,4,100,100,3
1053,RAZ,1546,2,100,100,3
1053,RAZ,1546,5,100,100,3
1092,RAZ,1546,2,100,100,3
1092,RAZ,1546,5,100,100,3
1092,RAZ,1546,3,100,100,3
1092,RAZ,1546,6,100,100,3
1092,RAZ,1546,1,100,100,3
1092,RAZ,1546,4,100,100,3
1147,RAZ,1546,4,100,100,3
1147,RAZ,1546,2,100,100,3
1147,RAZ,1546,5,100,100,3
1147,RAZ,1546,3,100,100,3
1147,RAZ,1546,6,100,100,3
1147,RAZ,1546,1,100,100,3
1186,RAZ,1546,6,100,100,3
1186,RAZ,1546,1,100,100,3
1186,RAZ,1546,4,100,100,3
1186,RAZ,1546,2,100,100,3
1186,RAZ,1546,5,100,100,3
1186,RAZ,1546,3,100,100,3
1302,RAZ,1546,3,100,100,3
1302,RAZ,1546,6,100,100,2
1302,RAZ,1546,1,100,100,3
1302,RAZ,1546,4,100,100,3
1302,RAZ,1546,2,100,100,3
1302,RAZ,1546,5,100,100,3
972,RAZ,1556,2,100,100,3
972,RAZ,1556,3,100,33,3
972,RAZ,1556,1,0,100,3
983,RAZ,1556,2,100,100,2
983,RAZ,1556,3,100,67,3
983,RAZ,1556,1,0,100,3
1007,RAZ,1556,2,100,100,3
1007,RAZ,1556,3,100,100,3
1007,RAZ,1556,1,100,100,3
1017,RAZ,1556,2,100,100,3
1017,RAZ,1556,3,100,100,3
1226,RAZ,1556,2,100,100,3
1226,RAZ,1556,3,100,67,3
1226,RAZ,1556,1,100,100,3
1322,RAZ,1556,2,100,100,3
1322,RAZ,1556,3,100,33,3
1322,RAZ,1556,1,100,100,3
1382,RAZ,1568,2,0,67,3
1065,RAZ,1600,4,100,100,3
1065,RAZ,1600,1,100,100,3
1065,RAZ,1600,2,100,100,3
1105,RAZ,1600,4,100,100,3
1105,RAZ,1600,1,100,100,3
1105,RAZ,1600,5,100,100,3
1105,RAZ,1600,2,100,100,3
1187,RAZ,1600,1,100,100,3
1187,RAZ,1600,5,100,100,3
1187,RAZ,1600,2,100,100,3
1187,RAZ,1600,4,100,100,3
1389,RAZ,1600,4,100,100,3
1389,RAZ,1600,1,100,100,2
1389,RAZ,1600,5,100,100,2
1389,RAZ,1600,2,100,100,3
888,RAZ,1618,1,100,100,3
888,RAZ,1618,2,100,100,3
957,RAZ,1618,2,100,100,3
977,RAZ,1618,1,100,100,3
977,RAZ,1618,2,100,100,3
1210,RAZ,1618,2,100,100,3
1210,RAZ,1618,1,100,100,3
1372,RAZ,1618,2,100,100,3
1372,RAZ,1618,1,100,100,3
1041,RAZ,1714,3,100,100,3
1041,RAZ,1714,1,100,100,3
1041,RAZ,1714,2,100,100,3
1073,RAZ,1714,2,100,100,1
1073,RAZ,1714,3,100,100,3
1237,RAZ,1714,3,100,100,3
1237,RAZ,1714,1,100,100,3
1237,RAZ,1714,2,100,100,3
1246,RAZ,1714,1,100,100,3
1246,RAZ,1714,2,100,100,3
1360,RAZ,1714,1,100,100,3
1360,RAZ,1714,2,100,100,3
1360,RAZ,1714,3,100,100,3
1425,RAZ,1714,2,100,100,1
1425,RAZ,1714,3,100,100,3
936,RAZ,1749,2,100,100,3
1025,RAZ,1749,2,100,100,3
1228,RAZ,1749,2,100,100,3
1383,RAZ,1749,2,100,100,3
933,RAZ,1758,3,100,100,3
933,RAZ,1758,1,100,100,3
933,RAZ,1758,4,100,100,3
933,RAZ,1758,2,100,100,3
1282,RAZ,1758,1,100,100,3
1282,RAZ,1758,4,100,100,3
1282,RAZ,1758,2,100,100,3
1282,RAZ,1758,3,100,100,3
1388,RAZ,1758,3,100,100,3
1388,RAZ,1758,1,100,100,3
1388,RAZ,1758,4,100,100,3
1388,RAZ,1758,2,100,100,3
1415,RAZ,1758,1,100,100,3
1415,RAZ,1758,4,100,100,3
1415,RAZ,1758,2,100,100,3
1415,RAZ,1758,3,100,100,3
1061,RAZ,1784,1,100,100,3
1061,RAZ,1784,2,100,100,3
1179,RAZ,1784,3,100,100,3
1179,RAZ,1784,1,100,100,3
1179,RAZ,1784,4,100,100,3
1179,RAZ,1784,2,100,100,3
1236,RAZ,1784,2,100,100,3
1236,RAZ,1784,3,100,100,3
1236,RAZ,1784,1,100,100,3
1236,RAZ,1784,4,100,100,3
1247,RAZ,1784,3,100,100,3
1247,RAZ,1784,1,100,100,3
1247,RAZ,1784,4,100,100,3
1247,RAZ,1784,2,100,100,3
1418,RAZ,1784,2,100,100,3
1418,RAZ,1784,3,100,100,3
1418,RAZ,1784,1,100,100,3
1418,RAZ,1784,4,100,100,3
921,RAZ,2059,3,100,100,3
921,RAZ,2059,1,100,100,3
921,RAZ,2059,4,100,100,3
921,RAZ,2059,2,100,100,3
921,RAZ,2059,5,100,100,3
1172,RAZ,2059,1,100,100,3
1172,RAZ,2059,5,100,100,3
1172,RAZ,2059,2,100,100,3
1172,RAZ,2059,3,100,100,2
1445,RAZ,2059,2,100,100,3
1445,RAZ,2059,5,100,100,3
1445,RAZ,2059,3,100,100,3
1445,RAZ,2059,1,100,100,3
1445,RAZ,2059,4,100,100,3
1257,RAZ,2304,2,100,100,3
1362,RAZ,2304,2,100,100,3
1378,RAZ,2304,2,100,67,3
1423,RAZ,2304,2,0,100,2
1095,RAZ,2377,3,100,100,3
1095,RAZ,2377,4,100,100,3
1428,RAZ,2377,4,100,100,3
1428,RAZ,2377,3,100,100,3
954,RAZ,2398,1,100,67,3
969,RAZ,2398,2,100,100,3
969,RAZ,2398,1,100,100,2
997,RAZ,2398,2,100,100,3
997,RAZ,2398,5,100,100,2
997,RAZ,2398,1,100,100,2
1046,RAZ,2398,5,100,100,3
1046,RAZ,2398,1,100,100,3
1285,RAZ,2398,5,100,100,1
1285,RAZ,2398,1,100,100,3
1285,RAZ,2398,2,100,100,3
1427,RAZ,2398,2,100,100,3
1427,RAZ,2398,5,0,50,2
1427,RAZ,2398,1,100,100,3
897,RAZ,2426,2,100,100,3
897,RAZ,2426,1,100,100,3
898,RAZ,2426,1,100,100,3
898,RAZ,2426,2,100,100,3
1185,RAZ,2426,1,100,100,3
1185,RAZ,2426,2,100,100,3
1406,RAZ,2426,2,100,100,3
1406,RAZ,2426,1,100,100,3
979,RAZ,2432,3,100,100,3
979,RAZ,2432,1,100,67,3
979,RAZ,2432,2,100,100,3
1059,RAZ,2432,2,100,100,3
1059,RAZ,2432,3,100,100,3
1059,RAZ,2432,1,100,100,3
1341,RAZ,2432,2,100,100,3
1341,RAZ,2432,3,100,100,3
1341,RAZ,2432,1,100,100,3
763,RAZ,2444,6,100,100,3
766,RAZ,2444,6,100,100,3
774,RAZ,2444,6,100,100,3
776,RAZ,2444,6,100,100,3
779,RAZ,2444,6,100,100,3
884,RAZ,2444,6,100,100,3
912,RAZ,2449,5,100,100,3
912,RAZ,2449,6,100,100,3
1029,RAZ,2449,6,100,100,3
1029,RAZ,2449,5,100,100,3
1294,RAZ,2449,6,100,100,3
1294,RAZ,2449,5,100,67,3
1403,RAZ,2449,5,100,100,3
1403,RAZ,2449,6,100,67,3
1404,RAZ,2449,5,100,100,3
1404,RAZ,2449,6,100,100,3
1420,RAZ,2449,6,100,100,3
1420,RAZ,2449,5,100,100,3
1452,RAZ,2449,6,100,100,3
1452,RAZ,2449,5,100,100,3
1048,RAZ,2539,2,100,100,3
1078,RAZ,2539,2,100,100,3
1233,RAZ,2539,2,100,100,3
1033,RAZ,2594,5,100,100,3
1033,RAZ,2594,3,100,100,3
1033,RAZ,2594,6,100,100,3
1033,RAZ,2594,1,100,100,3
